EngDispl,NumCyl,Transmission,FE,AirAspirationMethod,NumGears,TransLockup,TransCreeperGear,DriveDesc,IntakeValvePerCyl,ExhaustValvesPerCyl,CarlineClassDesc,VarValveTiming,VarValveLift
4.7,8,AM6,28.0198,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
4.7,8,M6,25.6094,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
4.2,8,M6,26.8,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
4.2,8,AM6,25.0451,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,AM6,24.8,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,23.9,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
2.0,4,S6,39.7256,Turbocharged,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.0,12,S6,24.4,Turbocharged,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
3.0,6,S6,39.7103,NaturallyAspirated,6,1,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.0,6,M6,38.7896,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,1
3.0,6,S7,33.6296,Turbocharged,7,1,0,TwoWheelDriveRear,2,2,2Seaters,1,0
3.0,6,M6,35.2678,Turbocharged,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
8.0,16,S7,17.8,Turbocharged,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.2,8,M6,27.1,Supercharged,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
6.2,8,S6,34.3493,NaturallyAspirated,6,1,0,TwoWheelDriveRear,1,1,2Seaters,0,0
6.2,8,M6,35.8,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
7.0,8,M6,33.7,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,0,0
8.4,10,M6,30.0,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,1,0
8.4,10,M6,30.0,NaturallyAspirated,6,0,0,TwoWheelDriveRear,1,1,2Seaters,1,0
4.5,8,AM7,24.3499,NaturallyAspirated,7,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.7,12,AM6,20.99,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.7,12,M6,21.1,NaturallyAspirated,6,0,0,TwoWheelDriveRear,2,2,2Seaters,1,0
5.2,10,AM6,25.4,NaturallyAspirated,6,1,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,24.0,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,AM6,25.4,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
5.2,10,M6,22.6,NaturallyAspirated,6,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,Other,17.5,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
6.5,12,AM7,19.9,NaturallyAspirated,7,0,0,AllWheelDrive,2,2,2Seaters,1,0
